"sim_id","true_n","param_type","prevalence","contact_rate","transmission_rate","recovery_rate","R0"
57,6223,"true",0.0083520049888175,3.86344846710563,0.250801120167064,0.227634873623494,4.25662899464369
57,6223,"abc",0.0083520049888175,20.1272425800245,0.0503950617570909,0.227187806495816,4.46464820654432
57,6223,"lstm",0.0083520049888175,2.18627875120748,0.454183608293533,0.227634873623494,4.36212587356567
58,7716,"true",0.0140866542200092,2.81615230906755,0.280155031454357,0.225382030985318,3.50054188116919
58,7716,"abc",0.0140866542200092,1.34234062581221,0.578902195925012,0.222322583151314,3.49529915021344
58,7716,"lstm",0.0140866542200092,2.97909822626907,0.260088354349136,0.225382030985318,3.43784618377686
59,6427,"true",0.011548786230851,3.34652141947299,0.273460928394385,0.199736461323453,4.58175161508843
59,6427,"abc",0.011548786230851,8.7823500113713,0.104675176486871,0.206157603093473,4.45918085782627
59,6427,"lstm",0.011548786230851,2.62143109914497,0.340633183717728,0.199736461323453,4.47062301635742
60,8584,"true",0.0124039003585931,4.01831776741892,0.174175034225542,0.140908138072817,4.96699938159436
60,8584,"abc",0.0124039003585931,12.4083668688331,0.0573576835420965,0.141263365192145,5.03821482072648
60,8584,"lstm",0.0124039003585931,2.66451479982727,0.256692737340927,0.140908138072817,4.85395383834839
61,5345,"true",0.0185149456115905,3.33442486077547,0.237051668295219,0.240589876133716,3.28538751818705
61,5345,"abc",0.0185149456115905,30.5243608789103,0.0261297234195181,0.240913834681968,3.31069865031368
61,5345,"lstm",0.0185149456115905,2.82348731648245,0.273547023534775,0.240589876133716,3.21026206016541
62,8529,"true",0.019508416421013,3.53787391912192,0.165788387461523,0.140742909395602,4.1674455545377
62,8529,"abc",0.019508416421013,8.54323604854786,0.0678222303576751,0.144286273768986,4.01577577789768
62,8529,"lstm",0.019508416421013,3.08941987872258,0.194935455918312,0.140742909395602,4.27898979187012
63,6137,"true",0.0169341715851333,2.74617252219468,0.251195194729713,0.161973206265131,4.25888551187236
63,6137,"abc",0.0169341715851333,8.10952821775817,0.0856568166310029,0.165889476926433,4.18734439569368
63,6137,"lstm",0.0169341715851333,1.85335295759859,0.384146124124527,0.161973206265131,4.39553165435791
64,5091,"true",0.00988039079867303,2.28161749709398,0.40131043573311,0.218135492759291,4.19756042610388
64,5091,"abc",0.00988039079867303,5.17619051258825,0.189754269231645,0.219840721241946,4.46779942574421
64,5091,"lstm",0.00988039079867303,2.46231785937069,0.384107440710068,0.218135492759291,4.33581256866455
65,8082,"true",0.0140068775461987,3.87861779518425,0.121389291496948,0.112837696294067,4.17256538912188
65,8082,"abc",0.0140068775461987,8.71937075619092,0.0565284507923533,0.115240174903193,4.27708931495178
65,8082,"lstm",0.0140068775461987,2.44347527613601,0.193174228072166,0.112837696294067,4.18314504623413
66,7656,"true",0.0154930982720107,4.37648530118167,0.0707310109613556,0.0716271810997277,4.32172849827912
66,7656,"abc",0.0154930982720107,9.04542068979813,0.0336913911399155,0.0727207152142131,4.19072894961723
66,7656,"lstm",0.0154930982720107,2.43691190186978,0.125429898500443,0.0716271810997277,4.26739692687988
67,9508,"true",0.0129779007150792,4.34256152529269,0.226909300323121,0.220237541981973,4.47411276227795
67,9508,"abc",0.0129779007150792,19.6405934936504,0.0500591665076474,0.221423894449448,4.44031454894371
67,9508,"lstm",0.0129779007150792,2.64894776794414,0.366795897483826,0.220237541981973,4.411705493927
68,8128,"true",0.00855780402594246,1.16938584763557,0.210067108653856,0.15311589874723,1.60433701479342
68,8128,"abc",0.00855780402594246,5.2680579608554,0.0425369128928303,0.157740409191361,1.42060568844753
68,8128,"lstm",0.00855780402594246,2.53749604648639,0.0970991253852844,0.15311589874723,1.60916435718536
