"sim_id","true_n","true_preval","true_crate","true_recov","true_ptran","true_R0","abc_preval","abc_crate","abc_recov","abc_ptran","abc_R0"
615,9697,0.0158206266039051,1.43147741723806,0.0942721770450007,0.123136943378175,1.86977493464947,0.0158206266039051,2.82259478057878,0.0937641234962961,0.0609487543247039,1.83474904286268
616,9537,0.00997157123498619,1.69961732905358,0.0940483379035722,0.111126826176807,2.00825536849443,0.00997157123498619,6.46364182761727,0.0940379190024463,0.0298188566368711,2.04958181821089
617,7363,0.0100433576514479,3.32958696968853,0.0902089937655255,0.115903495897935,4.27796335569583,0.0100433576514479,6.82485087380457,0.0896431515601177,0.0569049022007255,4.3323719073836
618,5782,0.0135634413335938,2.07803178112954,0.162191013581585,0.230514052177103,2.95340361862909,0.0135634413335938,7.94657034776301,0.168520275737152,0.0662070992406982,3.12199448604122
619,6364,0.0179913411815651,1.53127032797784,0.163501752624987,0.253706566005454,2.37608056366444,0.0179913411815651,7.84142705255899,0.156647195691368,0.0479892974973981,2.40224265725642
620,5854,0.0170381561957765,4.75134171638638,0.169748204442905,0.105073983946568,2.94107619500719,0.0170381561957765,3.63440471319594,0.176896917388342,0.142359622022932,2.92482474475857
621,6453,0.0133142697045114,1.17011824902147,0.135993542166194,0.485739365601265,4.17940798441414,0.0133142697045114,3.35693465928544,0.134559302297695,0.166300729606219,4.14880780107266
622,7775,0.0156261810208671,4.36745655164123,0.148832324571908,0.114491692335846,3.35973716219887,0.0156261810208671,10.2292390153255,0.14761328687795,0.0488456770640668,3.38488571131722
623,8673,0.0169776939461008,4.0074914060533,0.0820573665509,0.096295427571107,4.70284527342301,0.0169776939461008,1.94480137983632,0.0845666115202162,0.197170878258424,4.53439234713636
624,5129,0.0195566041073762,3.15103338006884,0.160815365976654,0.225039380432397,4.40944554810412,0.0195566041073762,4.85899548143577,0.162269546180414,0.14693130871802,4.39970765893763
625,9544,0.0100975076160394,4.90602936688811,0.17679803955066,0.100949515465871,2.80128268790431,0.0100975076160394,4.26701719852808,0.167704431194425,0.107197551649368,2.72749976413957
