date,mean_bias_abc,mean_bias_lstm,mean_abs_bias_abc,mean_abs_bias_lstm,se_bias_abc,se_bias_lstm,abc_q025,abc_q975,lstm_q025,lstm_q975,coverage_abc,coverage_lstm
36,9.214,-2.317,67.466,51.101,3.2499760843040906,2.509835409899379,12.975000000000001,1929.2499999999995,8,1982.05,92.30000000000001,95.39999999999999
37,8.545,-1.85,64.721,49.688,3.146830233030615,2.4574781176439187,9.975000000000001,1870.7249999999995,6,1892.025,92.60000000000001,95.39999999999999
38,8.067,-0.912,62.463,48.078,3.065399678049534,2.4065152340202567,7,1809.2749999999996,4,1796.5249999999996,93.7,95.89999999999999
39,7.367,-0.874,59.935,46.322,2.957031678448398,2.3293840718426306,5,1750.1749999999988,4,1742.125,94.19999999999999,94.89999999999999
40,6.97,0.129,57.686,43.955,2.8694614318559695,2.2542044709379843,4,1713.049999999999,3,1672.4249999999988,93.89999999999999,95
41,6.568,0.47400000000000003,55.16,42.226,2.76748773517867,2.1987883013137015,3,1709,2,1634.2749999999996,95.3,95.8
42,5.693,1.111,53.731,40.535,2.71482873235975,2.1248147016896595,3,1609.1,1.9750000000000014,1593.1,93.30000000000001,95.3
43,5.338,1.328,51.72,39.35,2.6193519734393775,2.071113209345623,2,1562.125,1,1538.1,94.3,96.5
44,4.756,1.684,49.48,38.136,2.5456596093835575,2.0313238098393915,1.9750000000000014,1508.1,1,1514.4249999999997,93.2,96.39999999999999
45,4.531,2.31,47.659,37.048,2.486857353870241,1.9855105520122909,1,1439.5499999999997,1,1471.0500000000002,95.1,95.6
46,3.994,2.578,45.364,36.36,2.4124883552183345,1.9472785650260236,0.9750000000000014,1400.3249999999998,0,1425.1749999999997,94.6,97.89999999999999
47,3.628,2.743,43.768,34.837,2.3620709123552994,1.8822507321870854,0,1345.1999999999998,0,1394.2499999999998,97.7,97.89999999999999
48,3.149,3.282,42.399,33.3,2.321471953530999,1.8316231379078283,0,1276.2499999999998,0,1330.2499999999998,97.1,98
49,2.541,3.592,41.237,32.074,2.266104045834292,1.7902487331447903,0,1269.2499999999995,0,1287.15,97.8,97.8
50,1.388,3.284,39.484,31.71,2.224056627850083,1.7719710001084175,0,1218.1999999999998,0,1236.3499999999997,97.6,97.7
51,0.8150000000000001,3.286,38.423,30.448,2.195912294652454,1.7448904970933983,0,1174.3749999999995,0,1196.3999999999996,97.5,97.6
52,0.28099999999999997,3.4,37.257,28.994,2.1666107728988244,1.6914724588591679,0,1153.5249999999994,0,1151.125,97.6,97.6
53,-0.342,3.316,36.504,28.064,2.1336164967855296,1.6499504478863845,0,1112.4749999999995,0,1136,97.5,97.8
54,-0.8190000000000001,3.058,35.725,27.194,2.106655699737676,1.61063303541644,0,1088.125,0,1077.3499999999995,97.6,97.5
55,-1.296,3.185,34.648,26.241,2.080810456566421,1.573239287857018,0,1021.2749999999997,0,1040.2749999999996,97.5,97.5
56,-1.822,3.267,33.934,25.671,2.0763220919282803,1.5514176122526158,0,991.5999999999995,0,1022.1249999999999,97.39999999999999,97.6
57,-1.945,3.237,33.555,24.455,2.075486357126594,1.4962050195278922,0,956.1249999999999,0,991.025,97.2,97.6
58,-2.236,3.366,33.122,23.988,2.0762705033793654,1.4748149453823431,0,917.05,0,989.05,97.1,97.89999999999999
59,-2.486,3.565,32.478,23.295,2.06183097050921,1.446459823507387,0,880.025,0,959.4249999999996,96.8,97.8
60,-2.636,3.34,31.896,22.466,2.0490070604890396,1.4065143734362202,0,839.9999999999991,0,921.5499999999995,96.7,97.8
