param_type,sim_id,coverage_95,coverage_90
abc,93,0.8666666666666667,0.8666666666666667
lstm,93,0.9166666666666666,0.9
abc,94,0.9166666666666666,0.9166666666666666
lstm,94,0.8,0.7
abc,95,0.9666666666666667,0.9666666666666667
lstm,95,0.9666666666666667,0.9666666666666667
abc,96,0.25,0.18333333333333332
lstm,96,0.9166666666666666,0.9166666666666666
abc,97,0.9333333333333333,0.9166666666666666
lstm,97,0.7666666666666667,0.75
abc,98,0,0
lstm,98,0.18333333333333332,0.18333333333333332
abc,99,0.8333333333333334,0.7833333333333333
lstm,99,0.31666666666666665,0.31666666666666665
abc,100,0.9666666666666667,0.95
lstm,100,0.95,0.95
abc,101,1,0.9333333333333333
lstm,101,0.75,0.75
abc,102,0.95,0.95
lstm,102,0.9666666666666667,0.95
abc,103,0.9333333333333333,0.9333333333333333
lstm,103,0.9333333333333333,0.9333333333333333
abc,104,0.9666666666666667,0.9666666666666667
lstm,104,0.9666666666666667,0.9666666666666667
abc,106,0.23333333333333334,0.23333333333333334
lstm,106,0.38333333333333336,0.38333333333333336
abc,107,1,1
lstm,107,1,1
abc,108,0.95,0.95
lstm,108,0.9166666666666666,0.9166666666666666
abc,109,0.8833333333333333,0.8833333333333333
lstm,109,0.5333333333333333,0.4666666666666667
abc,110,0.9166666666666666,0.9166666666666666
lstm,110,0.95,0.95
abc,111,0.9333333333333333,0.9333333333333333
lstm,111,0.9,0.9
abc,112,0.9333333333333333,0.9333333333333333
lstm,112,0.5666666666666667,0.5
abc,113,0.3,0.23333333333333334
lstm,113,0.36666666666666664,0.23333333333333334
abc,114,0.9166666666666666,0.9166666666666666
lstm,114,0.9,0.8833333333333333
abc,115,0.8666666666666667,0.8666666666666667
lstm,115,0.8666666666666667,0.8666666666666667
abc,116,0.9666666666666667,0.9666666666666667
lstm,116,1,1
abc,117,0,0
lstm,117,0.55,0.55
abc,118,0.9333333333333333,0.9333333333333333
lstm,118,1,0.9833333333333333
abc,119,0.8833333333333333,0.8666666666666667
lstm,119,0.9333333333333333,0.9333333333333333
abc,120,0.9333333333333333,0.9333333333333333
lstm,120,0.6333333333333333,0.5833333333333334
abc,121,0.8833333333333333,0.8833333333333333
lstm,121,0.8833333333333333,0.8833333333333333
abc,122,0.8833333333333333,0.8833333333333333
lstm,122,0.8666666666666667,0.8666666666666667
abc,123,0.95,0.95
lstm,123,0.7,0.6166666666666667
abc,124,0.95,0.95
lstm,124,0.95,0.95
abc,125,0.9666666666666667,0.95
lstm,125,0.95,0.95
abc,126,0.95,0.95
lstm,126,0.4666666666666667,0.43333333333333335
abc,127,0.9666666666666667,0.9666666666666667
lstm,127,0.9833333333333333,0.9833333333333333
abc,128,0.95,0.95
lstm,128,0.9666666666666667,0.9666666666666667
abc,129,0.95,0.95
lstm,129,0.9333333333333333,0.9333333333333333
abc,130,0.85,0.8333333333333334
lstm,130,0.7166666666666667,0.7
abc,131,0.9666666666666667,0.9666666666666667
lstm,131,0.6833333333333333,0.65
abc,132,1,1
lstm,132,1,1
abc,133,1,0.9833333333333333
lstm,133,1,1
abc,134,1,0.9833333333333333
lstm,134,0.9,0.9
abc,135,0.9833333333333333,0.9833333333333333
lstm,135,1,1
abc,136,0.9333333333333333,0.9333333333333333
lstm,136,0.9833333333333333,0.9833333333333333
abc,137,0.7,0.65
lstm,137,0.9666666666666667,0.9333333333333333
abc,138,0.95,0.95
lstm,138,0.9333333333333333,0.9333333333333333
abc,139,0.9833333333333333,0.9833333333333333
lstm,139,0.9833333333333333,0.9833333333333333
abc,140,0.9666666666666667,0.9666666666666667
lstm,140,0.9166666666666666,0.9166666666666666
abc,141,0.8666666666666667,0.8666666666666667
lstm,141,0.7666666666666667,0.75
abc,142,0.9666666666666667,0.9666666666666667
lstm,142,0.4666666666666667,0.45
abc,143,0.8666666666666667,0.85
lstm,143,0.35,0.35
abc,144,0.8666666666666667,0.8666666666666667
lstm,144,0.8,0.8
abc,145,0.9666666666666667,0.9666666666666667
lstm,145,0.43333333333333335,0.36666666666666664
abc,146,0.9666666666666667,0.9666666666666667
lstm,146,0.75,0.75
abc,147,0.5,0.5
