param_type,time,n_param_sets,mean_coverage_95,median_coverage_95,sd_coverage_95,coverage_95_q25,coverage_95_q75,mean_coverage_90,median_coverage_90
lstm,26,932,0.8304721030042919,1,0.3754189815135117,1,1,0.8186695278969958,1
lstm,27,932,0.8347639484978541,1,0.37159286139368014,1,1,0.825107296137339,1
lstm,28,932,0.8379828326180258,1,0.36866439307461757,1,1,0.825107296137339,1
lstm,29,932,0.8572961373390557,1,0.34995839290224523,1,1,0.8412017167381974,1
lstm,30,932,0.8476394849785408,1,0.3595629386336031,1,1,0.8336909871244635,1
lstm,31,932,0.8465665236051502,1,0.36059834044490297,1,1,0.825107296137339,1
lstm,32,932,0.8476394849785408,1,0.3595629386336031,1,1,0.8261802575107297,1
lstm,33,932,0.8476394849785408,1,0.3595629386336031,1,1,0.825107296137339,1
lstm,34,932,0.8497854077253219,1,0.35747346664779367,1,1,0.8272532188841202,1
lstm,35,932,0.8583690987124464,1,0.34885838217874693,1,1,0.8336909871244635,1
lstm,36,932,0.8530042918454935,1,0.3542917595634381,1,1,0.8326180257510729,1
lstm,37,932,0.851931330472103,1,0.35535873707301024,1,1,0.8293991416309013,1
lstm,38,932,0.8412017167381974,1,0.3656841124730499,1,1,0.8186695278969958,1
lstm,39,932,0.8476394849785408,1,0.3595629386336031,1,1,0.8240343347639485,1
lstm,40,932,0.8444206008583691,1,0.3626507422040121,1,1,0.8240343347639485,1
lstm,41,932,0.8551502145922747,1,0.3521382878349817,1,1,0.822961373390558,1
lstm,42,932,0.8283261802575107,1,0.3772991656622819,1,1,0.8122317596566524,1
lstm,43,932,0.8369098712446352,1,0.3696462448418146,1,1,0.8240343347639485,1
lstm,44,932,0.8208154506437768,1,0.3837126848979181,1,1,0.8047210300429185,1
lstm,45,932,0.8143776824034334,1,0.3890103379403732,1,1,0.7929184549356223,1
lstm,46,932,0.8283261802575107,1,0.3772991656622819,1,1,0.8090128755364807,1
lstm,47,932,0.8390557939914163,1,0.36767678489556715,1,1,0.8165236051502146,1
lstm,48,932,0.8476394849785408,1,0.3595629386336031,1,1,0.8283261802575107,1
lstm,49,932,0.8218884120171673,1,0.38281207847628834,1,1,0.8047210300429185,1
lstm,50,932,0.8165236051502146,1,0.3872644101837107,1,1,0.7982832618025751,1
lstm,51,932,0.8347639484978541,1,0.37159286139368014,1,1,0.8197424892703863,1
lstm,52,932,0.8165236051502146,1,0.3872644101837107,1,1,0.7972103004291845,1
lstm,53,932,0.822961373390558,1,0.38190633058087237,1,1,0.8036480686695279,1
lstm,54,932,0.8240343347639485,1,0.38099540454289055,1,1,0.8111587982832618,1
lstm,55,932,0.8175965665236051,1,0.38638401381543963,1,1,0.8004291845493562,1
lstm,56,932,0.842274678111588,1,0.3646789528464703,1,1,0.8261802575107297,1
lstm,57,932,0.8369098712446352,1,0.3696462448418146,1,1,0.8186695278969958,1
lstm,58,932,0.805793991416309,1,0.3958006100657405,1,1,0.7939914163090128,1
lstm,59,932,0.842274678111588,1,0.3646789528464703,1,1,0.8272532188841202,1
lstm,60,932,0.8572961373390557,1,0.34995839290224523,1,1,0.8379828326180258,1
