param_type,sim_id,mean_bias,mean_abs_bias,mean_relative_bias,rmse
abc,298,4.583333333333333,34.916666666666664,0.8561909494417854,65.43559174231304
lstm,298,6.433333333333334,51.46666666666667,1.8033908093992255,91.58638909066492
abc,299,1.1166666666666667,23.016666666666666,0.22758388556571119,45.28778348885418
lstm,299,2.966666666666667,67.36666666666666,3.758211262828726,107.49046469338572
abc,300,0.5833333333333334,6.783333333333333,0.15926441609055877,12.201775827039821
lstm,300,-1.2666666666666666,13.366666666666667,-0.022782912719237883,26.303358467440365
abc,301,15.333333333333334,118.76666666666667,17.289495596896973,216.25016377643124
lstm,301,-4.866666666666666,7.3,-0.1861707411051367,19.29939550003229
abc,302,1.1,19.233333333333334,0.35386632735045587,30.463092423455635
lstm,302,0.9833333333333333,24.383333333333333,0.45380029896252855,36.71807002916502
abc,303,3.9833333333333334,14.216666666666667,0.2952674189465202,24.4468811916776
lstm,303,0.1,9.433333333333334,-0.13469811430467055,17.73884626086676
abc,304,-6,10,-0.07876748371212497,12.091319200153471
lstm,304,12.783333333333333,21.35,0.2157268761807162,28.38808435476641
abc,305,-3.066666666666667,8.8,-0.06314850972635276,20.67849124090053
lstm,305,3.316666666666667,27.383333333333333,1.5954519797943765,50.036153595841746
abc,306,2.2,21,0.3423170308034296,41.048751503547585
lstm,306,6.933333333333334,53.43333333333333,2.9797754098914453,100.75233661475714
abc,307,-2.6333333333333333,25.8,0.4559237314883955,32.64761349113694
lstm,307,-6,26.966666666666665,0.6039770129557552,33.50771055543286
abc,308,3.183333333333333,8.416666666666666,0.5635830064445383,18.444963178783162
lstm,308,2.716666666666667,18.583333333333332,0.6158870392371036,41.70551522280956
abc,309,6.05,8.116666666666667,0.1998854708616229,10.428326807307105
lstm,309,6.783333333333333,8.55,0.20270034330794295,11.02194780124336
abc,310,4.983333333333333,13.95,0.24884664630099088,17.52474441087991
lstm,310,7.933333333333334,18.833333333333332,0.32957594700469867,23.15599274485981
abc,311,1.6333333333333333,3.7,0.08653799742453436,10.70202473055138
lstm,311,-9.266666666666667,45.03333333333333,-0.4226019715268762,111.12590457074654
abc,312,13.75,13.85,1.709692069912658,15.38884877652213
lstm,312,-0.5833333333333334,3.05,0.020683643698349578,3.9008546072196366
abc,313,0.7833333333333333,9.316666666666666,0.06880975381119904,12.30243878261542
lstm,313,2.783333333333333,11.083333333333334,0.11031125095666951,14.314910641239317
abc,314,2.55,14.316666666666666,0.051114939103048394,26.07009781339533
lstm,314,0.016666666666666666,18.35,-0.20296288177231572,32.248772586461854
abc,315,1.7,4.533333333333333,0.04565843979639833,8.04777401935881
lstm,315,1.45,7.383333333333334,-0.03586043172890141,14.896867679705913
abc,316,-1.3166666666666667,12.45,-0.10424302059398555,15.655137601865189
lstm,316,-25.816666666666666,53.05,0.3960465086864147,66.60618089436845
abc,317,0.13333333333333333,5.166666666666667,0.05194266333112711,11.28716084761797
lstm,317,-5.416666666666667,11.183333333333334,-0.2954588468184936,26.83188401883103
abc,318,-0.13333333333333333,13.966666666666667,4.1995622992562154e-5,18.188824407677735
lstm,318,-22.1,25.066666666666666,-0.1364029403356332,34.1169557063151
abc,319,-0.35,10.683333333333334,-0.12546341334875097,20.46012381845884
lstm,319,5.283333333333333,51.61666666666667,2.0571671956098183,84.50414191032296
abc,320,1.4,14.2,0.14602040190498983,30.578314756266952
